date,nav
2024-06-25,94002.6636
2024-06-26,94002.6636
2024-06-27,94002.6636
2024-06-28,94002.6636
2024-07-01,94002.6636
2024-07-02,94002.6636
2024-07-03,94002.6636
2024-07-04,94002.6636
2024-07-05,94002.6636
2024-07-08,94002.6636
2024-07-09,94002.6636
2024-07-10,94002.6636
2024-07-11,94002.6636
2024-07-12,94002.6636
2024-07-15,94002.6636
2024-07-16,94002.6636
2024-07-17,94002.6636
2024-07-18,94002.6636
2024-07-19,94002.6636
2024-07-22,94002.6636
2024-07-23,94002.6636
2024-07-24,94002.6636
2024-07-25,94002.6636
2024-07-26,94002.6636
2024-07-29,94002.6636
2024-07-30,94002.6636
2024-07-31,94002.6636
2024-08-01,94002.6636
2024-08-02,94002.6636
2024-08-05,94002.6636
2024-08-06,94002.6636
2024-08-07,94002.6636
2024-08-08,94002.6636
2024-08-09,93986.9591
2024-08-12,93313.9091
2024-08-13,93134.4291
2024-08-14,93089.5591
2024-08-15,94570.2691
2024-08-16,93942.0891
2024-08-19,94435.6591
2024-08-20,93986.9591
2024-08-21,93807.4791
2024-08-22,93717.7391
2024-08-23,93493.3891
2024-08-26,93852.3491
2024-08-27,92865.2091
2024-08-28,92416.5091
2024-08-29,92612.1423
2024-08-30,92612.1423
2024-09-02,92612.1423
2024-09-03,92598.9775
2024-09-04,92738.6575
2024-09-05,92913.2575
2024-09-06,92075.1775
2024-09-09,92179.9375
2024-09-10,92040.2575
2024-09-11,92179.9375
2024-09-12,91691.0575
2024-09-13,91725.9775
2024-09-18,92494.2175
2024-09-19,93506.8975
2024-09-20,93681.4975
2024-09-23,93437.0575
2024-09-24,93611.6575
2024-09-25,93786.2575
2024-09-26,95217.9775
2024-09-27,96789.3775
2024-09-30,98535.3775
2024-10-08,99268.6975
2024-10-09,97278.2575
2024-10-10,96579.8575
2024-10-11,97138.5775
2024-10-14,98046.4975
2024-10-15,98186.1775
2024-10-16,100071.8575
2024-10-17,98011.5775
2024-10-18,98151.2575
2024-10-21,98605.2175
2024-10-22,98989.3375
2024-10-23,99268.6975
